Player,Score,Wrong,Fixed_total,Attempted,Accuracy_fixed,Accuracy_attempted,Max_streak,Difficulty,Date,Completed
SmartBot16,1,2,10,4,0.1,0.25,1,hard,2025-07-03 19:58:55,False
SmartBot20,10,0,10,10,1.0,1.0,10,medium,2025-07-03 19:58:55,True
SmartBot20,1,2,10,4,0.1,0.25,1,hard,2025-07-03 19:58:55,False
SmartBot13,6,3,10,10,0.6,0.6,5,medium,2025-07-03 19:58:55,False
SmartBot17,9,1,10,10,0.9,0.9,8,easy,2025-07-03 19:58:55,True
SmartBot10,9,1,10,10,0.9,0.9,7,easy,2025-07-03 19:58:55,True
SmartBot14,9,1,10,10,0.9,0.9,7,easy,2025-07-03 19:58:55,True
SmartBot10,10,0,10,10,1.0,1.0,10,easy,2025-07-03 19:58:55,True
SmartBot15,8,2,10,10,0.8,0.8,5,medium,2025-07-03 19:58:55,True
SmartBot16,9,1,10,10,0.9,0.9,8,easy,2025-07-03 19:58:55,True
SmartBot19,5,3,10,9,0.5,0.56,2,medium,2025-07-03 20:00:51,False
SmartBot9,3,2,10,6,0.3,0.5,2,hard,2025-07-03 20:00:51,False
SmartBot19,2,3,10,6,0.2,0.33,2,medium,2025-07-03 20:00:51,False
SmartBot15,4,2,10,7,0.4,0.57,4,hard,2025-07-03 20:00:51,False
SmartBot17,7,3,10,10,0.7,0.7,5,medium,2025-07-03 20:00:51,True
SmartBot10,9,1,10,10,0.9,0.9,5,easy,2025-07-03 20:00:51,True
SmartBot17,7,3,10,10,0.7,0.7,4,medium,2025-07-03 20:00:51,True
SmartBot19,3,3,10,7,0.3,0.43,2,medium,2025-07-03 20:00:51,False
SmartBot3,9,1,10,10,0.9,0.9,9,hard,2025-07-03 20:00:51,True
SmartBot9,1,2,10,4,0.1,0.25,1,hard,2025-07-03 20:00:51,False
SmartBot9,8,2,10,10,0.8,0.8,3,medium,2025-07-03 20:00:51,True
SmartBot9,7,3,10,10,0.7,0.7,4,easy,2025-07-03 20:00:51,True
SmartBot16,4,3,10,8,0.4,0.5,3,medium,2025-07-03 20:00:51,False
SmartBot10,7,3,10,10,0.7,0.7,4,easy,2025-07-03 20:00:51,True
SmartBot19,9,1,10,10,0.9,0.9,7,medium,2025-07-03 20:00:51,True
SmartBot4,9,1,10,10,0.9,0.9,8,easy,2025-07-03 20:00:51,True
SmartBot3,8,2,10,10,0.8,0.8,5,medium,2025-07-03 20:00:51,True
SmartBot17,9,1,10,10,0.9,0.9,6,easy,2025-07-03 20:00:51,True
SmartBot1,3,2,10,6,0.3,0.5,2,hard,2025-07-03 20:00:51,False
SmartBot12,5,3,10,9,0.5,0.56,4,medium,2025-07-03 20:00:51,False
SmartBot18,4,3,10,8,0.4,0.5,4,medium,2025-07-03 20:00:51,False
SmartBot10,4,3,10,8,0.4,0.5,3,medium,2025-07-03 20:00:51,False
SmartBot18,9,1,10,10,0.9,0.9,7,easy,2025-07-03 20:00:51,True
SmartBot12,6,3,10,10,0.6,0.6,6,medium,2025-07-03 20:00:51,False
SmartBot9,7,3,10,10,0.7,0.7,3,easy,2025-07-03 20:00:51,True
SmartBot19,6,2,10,9,0.6,0.67,5,hard,2025-07-03 20:00:51,False
SmartBot11,6,3,10,10,0.6,0.6,5,medium,2025-07-03 20:00:51,False
SmartBot10,9,1,10,10,0.9,0.9,5,easy,2025-07-03 20:00:51,True
