Player,Score,Wrong,Total_questions,Accuracy,Difficulty,Date,Completed
SmartBot1,9,1,9,1.0,hard,2025-07-02 14:13:14,True
SmartBot2,8,2,9,0.89,medium,2025-07-02 14:13:14,True
SmartBot3,10,0,10,1.0,medium,2025-07-02 14:13:14,True
SmartBot4,9,1,10,0.9,easy,2025-07-02 14:13:14,True
SmartBot5,10,0,10,1.0,medium,2025-07-02 14:13:14,True
SmartBot6,9,1,10,0.9,easy,2025-07-02 14:13:14,True
SmartBot7,8,2,10,0.8,hard,2025-07-02 14:13:14,True
SmartBot8,9,1,10,0.9,hard,2025-07-02 14:13:14,True
SmartBot9,6,4,10,0.6,easy,2025-07-02 14:13:14,True
SmartBot10,6,3,9,0.67,medium,2025-07-02 14:13:14,False
SmartBot1,8,2,10,0.8,easy,2025-07-02 14:13:46,True
SmartBot2,8,2,9,0.89,hard,2025-07-02 14:13:46,True
SmartBot3,9,1,10,0.9,hard,2025-07-02 14:13:46,True
SmartBot4,9,1,10,0.9,hard,2025-07-02 14:13:46,True
SmartBot5,10,0,9,1.11,easy,2025-07-02 14:13:46,True
SmartBot6,9,1,10,0.9,easy,2025-07-02 14:13:46,True
SmartBot7,8,2,8,1.0,medium,2025-07-02 14:13:46,True
SmartBot8,7,3,8,0.88,easy,2025-07-02 14:13:46,True
SmartBot9,8,2,10,0.8,hard,2025-07-02 14:13:46,True
SmartBot10,10,0,9,1.11,medium,2025-07-02 14:13:46,True
SmartBot1,8,2,9,0.89,easy,2025-07-02 14:19:22,True
SmartBot2,9,1,10,0.9,medium,2025-07-02 14:19:22,True
SmartBot3,10,0,10,1.0,medium,2025-07-02 14:19:22,True
SmartBot4,7,3,9,0.78,hard,2025-07-02 14:19:22,True
SmartBot5,7,3,8,0.88,hard,2025-07-02 14:19:22,True
SmartBot6,8,2,10,0.8,medium,2025-07-02 14:19:22,True
SmartBot7,7,3,9,0.78,easy,2025-07-02 14:19:23,True
SmartBot8,8,2,10,0.8,hard,2025-07-02 14:19:23,True
SmartBot9,9,1,9,1.0,hard,2025-07-02 14:19:23,True
SmartBot10,9,1,8,1.12,easy,2025-07-02 14:19:23,True
SmartBot1,9,1,9,1.0,easy,2025-07-02 14:19:45,True
SmartBot2,9,1,9,1.0,medium,2025-07-02 14:19:45,True
SmartBot3,8,2,10,0.8,hard,2025-07-02 14:19:45,True
SmartBot4,6,4,9,0.67,easy,2025-07-02 14:19:45,True
SmartBot5,8,2,10,0.8,easy,2025-07-02 14:19:45,True
SmartBot6,8,2,8,1.0,easy,2025-07-02 14:19:45,True
SmartBot7,7,3,8,0.88,hard,2025-07-02 14:19:45,True
SmartBot8,10,0,10,1.0,medium,2025-07-02 14:19:45,True
SmartBot9,10,0,9,1.11,medium,2025-07-02 14:19:45,True
SmartBot10,3,3,6,0.5,medium,2025-07-02 14:19:45,False
SmartBot1,8,2,9,0.89,medium,2025-07-02 14:20:39,True
SmartBot2,5,3,8,0.62,medium,2025-07-02 14:20:39,False
SmartBot3,7,3,10,0.7,hard,2025-07-02 14:20:39,True
SmartBot4,10,0,9,1.11,medium,2025-07-02 14:20:39,True
SmartBot5,9,1,10,0.9,hard,2025-07-02 14:20:39,True
SmartBot6,7,3,9,0.78,easy,2025-07-02 14:20:39,True
SmartBot7,8,2,9,0.89,easy,2025-07-02 14:20:39,True
SmartBot8,8,2,9,0.89,easy,2025-07-02 14:20:39,True
SmartBot9,9,1,9,1.0,medium,2025-07-02 14:20:39,True
SmartBot10,8,2,10,0.8,medium,2025-07-02 14:20:39,True
SmartBot1,6,3,8,0.75,medium,2025-07-02 14:31:04,False
SmartBot2,9,1,10,0.9,easy,2025-07-02 14:31:04,True
SmartBot3,7,3,9,0.78,hard,2025-07-02 14:31:04,True
SmartBot4,6,3,9,0.67,medium,2025-07-02 14:31:04,False
SmartBot5,4,3,7,0.57,medium,2025-07-02 14:31:04,False
SmartBot6,2,3,5,0.4,medium,2025-07-02 14:31:04,False
SmartBot7,7,3,9,0.78,hard,2025-07-02 14:31:04,True
SmartBot8,7,3,10,0.7,easy,2025-07-02 14:31:04,True
SmartBot9,8,2,9,0.89,medium,2025-07-02 14:31:04,True
SmartBot10,2,3,4,0.5,medium,2025-07-02 14:31:04,False
SmartBot1,7,3,10,0.7,hard,2025-07-02 14:40:01,True
SmartBot2,8,2,9,0.89,easy,2025-07-02 14:40:01,True
SmartBot3,5,3,7,0.71,medium,2025-07-02 14:40:01,False
SmartBot4,8,2,10,0.8,medium,2025-07-02 14:40:01,True
SmartBot5,7,3,10,0.7,easy,2025-07-02 14:40:01,True
SmartBot6,7,3,10,0.7,easy,2025-07-02 14:40:01,True
SmartBot7,4,6,10,0.4,easy,2025-07-02 14:40:01,True
SmartBot8,8,2,10,0.8,easy,2025-07-02 14:40:01,True
SmartBot9,5,5,10,0.5,hard,2025-07-02 14:40:01,True
SmartBot10,8,2,10,0.8,medium,2025-07-02 14:40:01,True
SmartBot1,8,2,9,0.89,easy,2025-07-02 14:40:34,True
SmartBot2,8,2,10,0.8,easy,2025-07-02 14:40:34,True
SmartBot3,6,4,10,0.6,easy,2025-07-02 14:40:34,True
SmartBot4,6,4,9,0.67,easy,2025-07-02 14:40:34,True
SmartBot5,9,1,9,1.0,hard,2025-07-02 14:40:34,True
SmartBot6,8,2,10,0.8,hard,2025-07-02 14:40:34,True
SmartBot7,7,3,10,0.7,medium,2025-07-02 14:40:34,True
SmartBot8,3,3,6,0.5,medium,2025-07-02 14:40:34,False
SmartBot9,9,1,10,0.9,easy,2025-07-02 14:40:34,True
SmartBot10,7,3,9,0.78,easy,2025-07-02 14:40:34,True
RandomBot1,8,2,9,0.89,easy,2025-07-02 14:41:22,True
RandomBot2,8,2,10,0.8,hard,2025-07-02 14:41:22,True
RandomBot3,7,3,10,0.7,hard,2025-07-02 14:41:22,True
RandomBot4,8,2,10,0.8,hard,2025-07-02 14:41:22,True
RandomBot5,7,3,10,0.7,hard,2025-07-02 14:41:22,True
RandomBot6,9,1,10,0.9,hard,2025-07-02 14:41:22,True
RandomBot7,8,2,10,0.8,hard,2025-07-02 14:41:22,True
RandomBot8,6,4,10,0.6,hard,2025-07-02 14:41:22,True
RandomBot9,8,2,10,0.8,hard,2025-07-02 14:41:22,True
RandomBot10,7,3,10,0.7,hard,2025-07-02 14:41:22,True
RandomBot11,9,1,10,0.9,easy,2025-07-02 14:41:22,True
RandomBot12,9,1,9,1.0,medium,2025-07-02 14:41:22,True
RandomBot13,8,2,8,1.0,hard,2025-07-02 14:41:22,True
RandomBot14,9,1,9,1.0,hard,2025-07-02 14:41:22,True
RandomBot15,6,4,9,0.67,easy,2025-07-02 14:41:22,True
RandomBot16,7,3,9,0.78,easy,2025-07-02 14:41:22,True
RandomBot17,8,2,10,0.8,medium,2025-07-02 14:41:22,True
RandomBot18,8,2,10,0.8,medium,2025-07-02 14:41:22,True
RandomBot19,4,6,10,0.4,hard,2025-07-02 14:41:22,True
RandomBot20,8,2,9,0.89,hard,2025-07-02 14:41:22,True
RandomBot21,6,4,10,0.6,hard,2025-07-02 14:41:22,True
RandomBot22,8,2,9,0.89,hard,2025-07-02 14:41:22,True
RandomBot23,1,3,4,0.25,medium,2025-07-02 14:41:22,False
RandomBot24,5,5,9,0.56,easy,2025-07-02 14:41:22,True
RandomBot25,10,0,10,1.0,hard,2025-07-02 14:41:22,True
