Player,Score
SmartBot1,9
SmartBot2,8
SmartBot3,10
SmartBot4,9
SmartBot5,10
SmartBot6,9
SmartBot7,8
SmartBot8,9
SmartBot9,6
SmartBot10,6
SmartBot1,8
SmartBot2,8
SmartBot3,9
SmartBot4,9
SmartBot5,10
SmartBot6,9
SmartBot7,8
SmartBot8,7
SmartBot9,8
SmartBot10,10
SmartBot1,8
SmartBot2,9
SmartBot3,10
SmartBot4,7
SmartBot5,7
SmartBot6,8
SmartBot7,7
SmartBot8,8
SmartBot9,9
SmartBot10,9
SmartBot1,9
SmartBot2,9
SmartBot3,8
SmartBot4,6
SmartBot5,8
SmartBot6,8
SmartBot7,7
SmartBot8,10
SmartBot9,10
SmartBot10,3
SmartBot1,8
SmartBot2,5
SmartBot3,7
SmartBot4,10
SmartBot5,9
SmartBot6,7
SmartBot7,8
SmartBot8,8
SmartBot9,9
SmartBot10,8
SmartBot1,6
SmartBot2,9
SmartBot3,7
SmartBot4,6
SmartBot5,4
SmartBot6,2
SmartBot7,7
SmartBot8,7
SmartBot9,8
SmartBot10,2
SmartBot1,7
SmartBot2,8
SmartBot3,5
SmartBot4,8
SmartBot5,7
SmartBot6,7
SmartBot7,4
SmartBot8,8
SmartBot9,5
SmartBot10,8
SmartBot1,8
SmartBot2,8
SmartBot3,6
SmartBot4,6
SmartBot5,9
SmartBot6,8
SmartBot7,7
SmartBot8,3
SmartBot9,9
SmartBot10,7
RandomBot1,8
RandomBot2,8
RandomBot3,7
RandomBot4,8
RandomBot5,7
RandomBot6,9
RandomBot7,8
RandomBot8,6
RandomBot9,8
RandomBot10,7
RandomBot11,9
RandomBot12,9
RandomBot13,8
RandomBot14,9
RandomBot15,6
RandomBot16,7
RandomBot17,8
RandomBot18,8
RandomBot19,4
RandomBot20,8
RandomBot21,6
RandomBot22,8
RandomBot23,1
RandomBot24,5
RandomBot25,10
RandomBot26,7
RandomBot27,8
RandomBot28,6
RandomBot29,6
RandomBot30,7
RandomBot31,1
RandomBot32,9
RandomBot33,7
RandomBot34,8
RandomBot35,6
RandomBot36,4
RandomBot37,3
RandomBot38,9
RandomBot39,7
RandomBot40,2
RandomBot41,5
RandomBot42,1
RandomBot43,6
RandomBot44,6
RandomBot45,5
RandomBot46,6
RandomBot47,8
RandomBot48,8
RandomBot49,6
RandomBot50,10
RandomBot51,8
RandomBot52,9
RandomBot53,7
RandomBot54,8
RandomBot55,7
RandomBot56,8
RandomBot57,6
RandomBot58,5
RandomBot59,7
RandomBot60,1
RandomBot61,3
RandomBot62,8
RandomBot63,10
RandomBot64,9
RandomBot65,8
RandomBot66,9
RandomBot67,8
RandomBot68,6
RandomBot69,6
RandomBot70,3
RandomBot71,7
RandomBot72,4
RandomBot73,5
RandomBot74,1
RandomBot75,4
RandomBot76,6
RandomBot77,8
RandomBot78,4
RandomBot79,6
RandomBot80,8
RandomBot81,7
RandomBot82,3
RandomBot83,8
RandomBot84,8
RandomBot85,8
RandomBot86,6
RandomBot87,6
RandomBot88,5
RandomBot89,6
RandomBot90,8
RandomBot91,9
RandomBot92,7
RandomBot93,3
RandomBot94,5
RandomBot95,8
RandomBot96,7
RandomBot97,7
RandomBot98,8
RandomBot99,7
RandomBot100,5
RandomBot101,4
RandomBot102,8
RandomBot103,10
RandomBot104,6
RandomBot105,7
RandomBot106,4
RandomBot107,5
RandomBot108,2
RandomBot109,6
RandomBot110,4
RandomBot111,8
RandomBot112,9
RandomBot113,8
RandomBot114,7
RandomBot115,8
RandomBot116,4
RandomBot117,5
RandomBot118,7
RandomBot119,8
RandomBot120,3
RandomBot121,9
RandomBot122,8
RandomBot123,9
RandomBot124,9
RandomBot125,7
RandomBot126,7
RandomBot127,10
RandomBot128,8
RandomBot129,9
RandomBot130,9
RandomBot131,8
RandomBot132,6
RandomBot133,6
RandomBot134,8
RandomBot135,7
RandomBot136,7
RandomBot137,6
RandomBot138,8
RandomBot139,4
RandomBot140,8
RandomBot141,8
RandomBot142,8
RandomBot143,2
RandomBot144,5
RandomBot145,7
RandomBot146,9
RandomBot147,5
RandomBot148,8
RandomBot149,9
RandomBot150,9
RandomBot151,7
RandomBot152,8
RandomBot153,5
RandomBot154,8
RandomBot155,8
RandomBot156,2
RandomBot157,6
RandomBot158,10
RandomBot159,6
RandomBot160,8
RandomBot161,7
RandomBot162,9
RandomBot163,9
RandomBot164,7
RandomBot165,6
RandomBot166,3
RandomBot167,9
RandomBot168,5
RandomBot169,7
RandomBot170,6
RandomBot171,2
RandomBot172,8
RandomBot173,5
RandomBot174,7
RandomBot175,8
RandomBot176,6
RandomBot177,6
RandomBot178,8
RandomBot179,8
RandomBot180,9
RandomBot181,10
RandomBot182,6
RandomBot183,6
RandomBot184,9
RandomBot185,8
RandomBot186,9
RandomBot187,7
RandomBot188,6
RandomBot189,9
RandomBot190,6
RandomBot191,8
RandomBot192,8
RandomBot193,7
RandomBot194,8
RandomBot195,8
RandomBot196,7
RandomBot197,6
RandomBot198,10
